TotalPop,UninsuredPop,MedHouseInc,GEOID
5999,216,42609,06037239202
3729,100,44177,06037239501
4016,205,41250,06037239502
3682,193,43102,06037239601
4016,176,38295,06037239602
5134,386,36232,06037239701
3705,149,46938,06037239801
6379,322,42662,06037240401
4334,162,31189,06037239702
5461,209,42171,06037239802
3763,96,42422,06037240402
2412,51,52750,06019003004
5339,220,39474,06019003103
5229,365,45279,06019002906
4159,238,52347,06019003104
3179,46,33555,06019003301
4666,181,34805,06019003302
4581,207,42143,06019003702
3496,101,35476,06019003807
5042,263,66298,06019003808
3462,145,41979,06019003701
8458,439,64278,06019004001
7209,416,36554,06019004002
5461,176,105833,06037504002
4826,222,64623,06037504101
3971,66,88750,06037530005
3904,112,59940,06037530204
4240,183,32845,06037533402
3409,166,45972,06037531603
5934,273,33504,06107004200
7437,446,32021,06107004300
2369,161,31004,06107000202
7791,424,43364,06107001004
4930,303,62279,06037502005
6468,248,85160,06037502801
3221,122,47350,06037502802
5204,234,77795,06037503103
2542,60,62974,06037503104
4228,206,73611,06037503105
4091,92,68255,06037503106
2753,211,44736,06037531503
4250,141,48167,06037531504
4709,261,38232,06037533001
2705,147,38065,06037533002
3485,80,52143,06037533805
3794,254,41510,06037533806
7319,542,46061,06013336102
3403,48,127704,06013337100
2990,113,173816,06013338301
4144,89,130804,06013338201
7688,321,137819,06013345202
3406,50,191250,06013352101
6658,61,122708,06013352201
4397,109,239189,06013353002
6043,136,107686,06013359202
5173,121,82224,06013360200
3190,61,28462,06029002100
5633,331,29250,06029002200
7110,202,101372,06029002808
7424,539,45703,06029002900
8339,384,39809,06029003121
2260,52,103438,06029003203
11455,436,124211,06029003204
8602,613,131522,06029003803
4518,176,53187,06029000906
2521,167,44625,06029000907
11403,640,63141,06029000910
2586,210,24946,06029001500
3739,193,65833,06029001700
5614,145,47676,06029001801
4405,144,71964,06029003812
1963,33,74125,06029003900
8948,530,43879,06029004301
3267,0,,06029004601
5863,247,34127,06029004901
2437,19,53506,06029005103
4228,0,,06029006002
4074,156,37264,06029006301
7230,312,43278,06029006401
3394,129,24510,06029005900
6018,330,59663,06029006003
1225,44,45096,06029006004
3349,114,40132,06029000102
3411,106,43162,06029000902
2728,87,96964,06029000909
6840,330,37083,06029001102
9052,305,30851,06029002500
2112,96,62188,06029002806
5902,312,46101,06059087803
4743,241,58445,06059088104
6923,233,87708,06059088403
4488,168,69688,06059088602
7689,131,51472,06059088801
4984,99,59830,06059088802
3856,218,63913,06059089003
6883,367,51522,06059089004
6889,302,62042,06059089105
5346,269,64391,06059099222
6176,231,74396,06059099229
3476,96,118333,06059099246
5767,293,74962,06059099251
2373,66,47444,06001405302
3648,123,51018,06001405401
2698,118,51490,06001406602
3357,137,54093,06001405402
4426,297,42028,06001405901
4955,247,50380,06001406601
2942,108,44922,06001405902
3821,220,47917,06001407101
4387,213,53714,06001407102
2705,134,31151,06001410500
1659,0,82313,06001425101
4350,250,54155,06037432300
3705,35,52500,06037432401
6246,210,50570,06037433200
6196,138,131477,06037460100
6840,326,82847,06037461300
5664,279,39432,06037575802
3215,95,57727,06037183610
1291,24,94688,06037574602
4129,149,46199,06037575402
4423,0,62409,06037576602
8457,204,106337,06037577603
5167,97,53008,06037601002
5949,220,50094,06037601401
3709,152,51875,06037602004
6311,212,100333,06037602301
5199,280,55833,06037602403
7498,112,52656,06037603001
6492,228,100498,06037503401
45,1,42188,06037532400
6839,297,45432,06037402502
1394,79,72500,06037404600
5284,245,58497,06037301204
6707,123,71528,06037311600
3669,142,65893,06073013308
6733,195,94643,06073013309
7827,320,119016,06073013410
6698,233,86706,06073013418
3789,75,101094,06073013504
5799,242,93015,06073013601
4299,138,74750,06073013903
4670,185,49299,06073013907
5445,239,92375,06073014602
4818,107,56484,06073014803
5966,297,37781,06073015701
3453,71,58661,06073016617
3022,107,90862,06073016810
4818,51,84441,06073016811
2553,0,62052,06073017014
6673,109,84388,06073017019
15361,513,150203,06073017032
5575,121,106141,06073017037
4538,46,135990,06073017106
